title,price,currency
Apple iPhone 6 argento 64 GB - difettoso - problema sconosciuto - nessun danno da acqua,14.1,EUR
Iphone 13 mini 128g (locked),40.0,EUR
iphone xs - 64 Gb - Usato,6.21,EUR
Apple iPhone 8 64GB GRIGIO SIDERALE / SPACE GREY,234.5,EUR
Apple iPhone 11 Pro Max - 256GB - Oro,113.0,EUR
APPLE IPHONE 12 - 64 GB - 128GB - 256 GB BUONO,98.0,EUR
Nuova inserzioneiphone 13 pro max,320.0,EUR
APPLE iPhone SE 2.GEN 2020 NUOVO SIGILLATO Sbloccato Originale Garanzia 24 MESI,,EUR
BATTERIE INTERNE 0 CYCLE NEUVE POUR IPHONE 4S 5SE 6S 7 8 PLUS X 11 12 13 PRO MAX,61.5,EUR
Shop on eBay,20.0,$
"APPLE IPHONE 7 32GB NERO RICONDIZIONATO ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",119.0,EUR
APPLE IPHONE X 64 GB Nero Black Condizione Eccellente -Ricondizionato,239.0,EUR
"APPLE IPHONE 12 MINI 128GB BLU ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",409.0,EUR
APPLE iPhone SE 2.GEN 2020 NUOVO SIGILLATO Sbloccato Originale Garanzia 24 MESI,,EUR
APPLE IPHONE 12 - 64 GB - 128GB - 256 GB BUONO,,EUR
Nuova inserzioneiphone 13 pro max,61.5,EUR
Apple iPhone 5c bianco (batteria scarica/schermo rotto/solo per parti),9.03,EUR
Apple iPhone 12 128 GB colore rosso AT&T bloccato - leggere descrizione./modello non britannico,236.16,EUR
Due (2) iPhone 5s - 16GB - Grigio Siderale e Argento,33.5,EUR
apple iphone se 2020 128gb,110.0,EUR
iPhone iCloud,400.0,EUR
Apple iPhone SE 2020 64 GB ARGENTO/SILVER,155.0,EUR
iPhone XS  MAX 512 MB,201.0,EUR
BATTERIE INTERNE 0 CYCLE NEUVE POUR IPHONE 4S 5SE 6S 7 8 PLUS X 11 12 13 PRO MAX,,EUR
APPLE IPHONE 12 MINI 64GB NERO RICONDIZIONATO  BUONO +  GARANZIA 12 MESI,325.0,EUR
IPHONE 11 RICONDIZIONATO 64 256GB ECCELLENTE BIANCO NERO ROSSO VERDE RIGENERATO,,EUR
"iphone 12 mini per pezzi, non si accende ",100.0,EUR
Nuova inserzioneApple iPhone 12 Mini - GRADO B- 64GB - Blu - in garanzia 22 mesi,150.0,EUR
APPLE IPHONE SE  2020 2GEN 64GB NERO MOLTO BUONO+  ACCESSORI E GARANZIA 12 MESI,260.0,EUR
Nuova inserzioneAPPLE IPHONE XS 256 GB NERO,159.0,EUR
Apple iPhone 14 5G 256GB Nuovo Originale Smartphone BLUE Azzurro MPWP3,1.0,EUR
Nuova inserzioneNuovo Apple iPhone 14 - 128GB - Mezzanotte mai aperto,869.9,EUR
iPhone 8 64gb batteria 99%,799.0,EUR
Apple iPhone 12 64GB VERDE/GREEN,77.0,EUR
iPhone 12 Pro Max - 128 Go - or - débloqué,307.0,EUR
iphone xs max 256gb usato,302.0,EUR
iphone 11 128gb usato,114.0,EUR
Apple iPhone 8 - 64GB - Argento (Sbloccato),210.0,EUR
Apple iPhone 11 64GB 128GB 256GB  - Tutti Colori - Molto Buono,51.0,EUR
APPLE iphone 7 Plus 32GB 128GB nero silver gold rosa ricondizionato eccellente,,EUR
APPLE IPHONE 11 64 GB RICONDIZIONATO NO GRAFFI  COME NUOVO PURPLE,,EUR
APPLE IPHONE SE  2020 2GEN 64GB BIANCO ECCELLENTE + ACCESSORI E GARANZIA 12 MESI,342.0,EUR
Apple iPhone 14 Pro 128 GB non funzionante,179.0,EUR
Apple iPhone 13 mini 5G 128GB NUOVO Originale Smartphone BLU,304.0,EUR
Apple iPhone 14 - 256GB - Mezzanotte (Sbloccato) Nuovo Sigillato ,659.9,EUR
iPhone XR 64gb LEGGI DESCRIZIONE,595.0,EUR
Apple iPhone 12 - 128 GB - bianco (sbloccato) #rimesso in vendita di nuovo ,42.5,EUR
IPHONE 8 64GB NERO IN OTTIME CONDIZIONI FOTO REALI BATTERIA NUOVA,96.05,EUR
iPhone SE 2020 MXD02QL/A 64GB 128GB 256GB A2296 Black White Red Grado BUONO,125.0,EUR
Apple iphone 7 128GB nero rigenerato molto buono ricondizionato grado AB,149.0,EUR
Nuova inserzioneiPhone X Da 256gb leggere  bene,129.0,EUR
IPHONE XS - 256 GB - COLORE ORO,50.0,EUR
APPLE IPHONE 11 RICONDIZIONATO 64 128 256GB ECCELLENTE BIANCO NERO ROSSO VERDE,150.0,EUR
Apple iPhone 12 - 128GB - Blu (Sbloccato) - Ottime condizioni,,EUR
Apple iPhone 8 Plus - 64 GB - Grigio Siderale  (Sbloccato),388.0,EUR
Apple iPhone 14 Pro 256gb IMBALLATO,85.0,EUR
Apple iPhone 12 mini 5G 128GB NUOVO Originale Smartphone iOS (PRODUCT)RED,976.0,EUR
Apple iPhone 14 Pro - 128GB - Viola Scuro,564.9,EUR
iphone 3g nero,899.0,EUR
Apple iPhone 13 - 128 GB - rosa (tre),7.0,EUR
IPHONE 14 128GB PURPLE 5G APPLE MPV03QL/A SMARTPHONE NUOVO GAR. ITALIA 24 MESI,480.0,EUR
Nuova inserzioneApple iPhone 8 - 64GB - Argento (Sbloccato),155.94,EUR
iPhone SE 2°gen (2020) 64 GB Bianco - buone condizioni,725.99,EUR
iphone x 64gb usato,36.5,EUR
IPHONE 8 RICONDIZIONATO BUONO 64-256GB APPLE,80.0,EUR
Apple iPhone 14 5G 256GB Nuovo Originale Smartphone STARLIGHT Bianco MPW43,130.0,EUR
Nuova inserzioneAPPLE IPHONE 11 PRO MAX,139.9,EUR
